placeholder,type,name,met
"pl","Sports","Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)",6.0,
"pl","Sports","Track and field (e.g., steeplechase, hurdles)",10.0,
"pl","Walking","Backpacking (Taylor Code 050)",7.0,
"pl","Walking","Walking with a day pack, level ground, assumed in the city",3.5,
"pl","Walking","Backpacking,  hiking with a daypack, organized walking with daypack",7.8,
"pl","Walking","Carrying 5 to 14 lb (2.3 to 6.4 kg) load (e.g. suitcase, boxes, groceries), level ground, moderate pace ",4.0,
"pl","Walking","Carrying 15 - 155 lb (6.8 - 70.4 kg) load (e.g. suitcase, boxes, furniture), level ground or downstairs, slow pace",4.5,
"pl","Walking","Carrying 50 to 150 pound load (e.g., equine or bovine feed, fence pipes, furniture), level ground, moderate pace",6.5,
"pl","Walking","Carrying ~10 lb child, slow walking",2.3,
"pl","Walking","Carrying load upstairs, general",8.3,
"pl","Walking","Carrying load, 1 to 15 lb load, upstairs",5.5,
"pl","Walking","Carrying load, 16 to 24 lb load, upstairs",6.0,
"pl","Walking","Carrying load, 25 to 49 lb load, upstairs",8.0,
"pl","Walking","Carrying load, 50 to 74 lb load, upstairs",10.0,
"pl","Walking","Carrying load, >74 lb load, upstairs",12.0,
"pl","Walking","Loading  and/or unloading a car, implied walking",3.8,
"pl","Walking","Climbing hills, no load, 5 to 20% grade, very slow pace",5.0,
"pl","Walking","Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace",3.8,
"pl","Walking","Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace",5.3,
"pl","Walking","Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace",7.0,
"pl","Walking","Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace",8.8,
"pl","Walking","Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace",10.0,
"pl","Walking","Climbing hills, no load, steep grade (30%), slow pace (less than 1.2 mph)",8.5,
"pl","Walking","Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph",15.5,
"pl","Walking","Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph",16.3,
"pl","Walking","Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate ",6.5,
"pl","Walking","Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace",7.5,
"pl","Walking","Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace",10.0,
"pl","Walking","Descending stairs",3.5,
"pl","Walking","Hauling water, head hauling, walking on flat surface",4.5,
"pl","Walking","Hiking, cross country (Taylor Code 040)",6.0,
"pl","Walking","Hiking slowly or ambling through fields and hillsides, no load ",3.8,
"pl","Walking","Hiking or walking at a normal pace through fields and hillsides, no load",5.3,
"pl","Walking","Bird watching, walking and stopping",2.5,
"pl","Walking","Marching, moderate speed, military, no pack",4.5,
"pl","Walking","Marching rapidly, military, no pack",8.0,
"pl","Walking","Pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph",3.8,
"pl","Walking","Pushing a wheelchair, non-occupational",3.8,
"pl","Walking","Race walking",6.5,
"pl","Walking","Stair climbing, using or climbing up ladder (Taylor Code 030)",8.0,
"pl","Walking","Stair climbing, general ",6.8,
"pl","Walking","Stair climbing, slow pace",4.5,
"pl","Walking","Stair climbing, fast pace, one step at a time",9.3,
"pl","Walking","Stair climbing, two steps at a time",7.5,
"pl","Walking","Stair climbing, ascending and descending stairs",7.5,
"pl","Walking","Using crutches, level ground, general ",4.5,
"pl","Walking","Using crutches, fast pace",7.0,
"pl","Walking","Using medical knee scooter",4.3,
"pl","Walking","Walking, household",2.3,
"pl","Walking","Walking, less than 2.0 mph, level, strolling, very slow",2.3,
"pl","Walking","Walking, 2.0 to 2.4 mph, level, slow pace, firm surface",2.8,
"pl","Walking","Walking for pleasure (Taylor Code 010)",3.5,
"pl","Walking","Walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite",2.5,
"pl","Walking","Walking to neighbor’s house or family’s house for social reasons",2.5,
"pl","Walking","Walking the dog",3.0,
"pl","Walking","Walking, 2.5 mph, firm, level surface",3.0,
"pl","Walking","Walking, 2.5 mph, downhill",3.3,
"pl","Walking","Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface",3.8,
"pl","Walking","Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise",4.8,
"pl","Walking","Walking, 4.0 to 4.4 mph (6.4 to 7.0 km/h), level, firm surface, very brisk pace",5.5,
"pl","Walking","Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk",7.0,
"pl","Walking","Walking, 5.0 to 5.5 mph (8.8 to 8.9 km/h), level, firm surface",8.5,
"pl","Walking","Walking, for pleasure, work break (Taylor Code xxx)",3.5,
"pl","Walking","Walking, self-selected speed, indoor track or outdoors, firm surface",4.0,
"pl","Walking","Walking, grass track",4.8,
"pl","Walking","Walking, normal pace, plowed field or sand",4.5,
"pl","Walking","Walking, to work or class (Taylor Code 015)",4.0,
"pl","Walking","Walking, to and from an outhouse",2.5,
"pl","Walking","Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace",4.3,
"pl","Walking","Walking, for exercise, 3.6 to 4.4 mph (5.8 to 7.1 km/h), with ski poles, Nordic walking, level, moderate pace",5.3,
"pl","Walking","Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace",8.5,
"pl","Walking","Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace",8.8,
"pl","Walking","Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)",10.8,
"pl","Walking","Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)",12.3,
"pl","Walking","Walking, backward, 3.5 mph, level",6.0,
"pl","Walking","Walking, backward, 3.5 mph, uphill, 5% grade",7.8,
"pl","Walking","Walking, Teabag walk, Monty Python Ministry of Silly Walks",8.0,
"pl","Walking","Walking, Putey walk, Monty Python Ministry of Silly Walks",3.5,
"pl","Walking","Walking, treadmill, less than 1.0 mph, 0% grade",2.1,
"pl","Walking","Walking, treadmill, 1.0 mph, 0% grade",2.3,
"pl","Walking","Walking, treadmill, 1.2 to 1.9 mph, 0% grade (1.9 to 3.0 km/h)",2.8,
"pl","Walking","Walking, treadmill, 2.0 to 2.4 mph (3.2 to 3.9 km/h), 0% grade",3.0,
"pl","Walking","Walking, treadmill, 2.5 to 2.9 mph (4.0 to 4.7 km/h), 0% grade",3.5,
"pl","Walking","Walking, treadmill, 3.0 to 3.4 mph (4.8 to 5.5 km/h), 0% grade",3.8,
"pl","Walking","Walking, treadmill, 3.5 to 3.9 mph (5.6 to 6.3 km/h), 0% grade",4.8,
"pl","Walking","Walking, treadmill, 4.0 to 4.4 mph (6.4 to 7.1 km/h), 0% grade",5.8,
"pl","Walking","Walking, treadmill, 4.5 to 4.9 mph (7.2 to 7.9 km/h), 0% grade",6.8,
"pl","Walking","Walking, treadmill, 5.0 to 5.5 mph (8.0 to 8.9 km/h), 0% grade",8.3,
"pl","Walking","Walking, treadmill, downhill (-3% to -12% grade), 2.8 to 3.1 mph",3.3,
"pl","Walking","Walking, treadmill, downhill (-5% to -25% grade), 2.8 mph, with Nordic Poles",3.3,
"pl","Walking","Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb (18.2 kg) load",4.8,
"pl","Walking","Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb (18.2 kg) load",5.8,
"pl","Walking","Walking, Curved treadmill, 3.0 to 5.0 mph, brisk pace",8.3,
"pl","Walking","Walking treadmill, backwards, 2.5 mph, +10% grade",7.8,
"pl","Walking","Walking, with a walker or step-to gait on treadmill, 0.7 mph (1.1 km/h), 0% grade",1.5,
"pl","Water Activities","Boating, power, driving ",2.5,
"pl","Water Activities","Boating, power, passenger, light ",1.3,
"pl","Water Activities","Canoeing, on camping trip (Taylor Code 270) ",4.0,
"pl","Water Activities","Canoeing, harvesting wild rice, knocking rice off the stalks ",3.3,
"pl","Water Activities","Canoeing, portaging ",7.0,
"pl","Water Activities","Canoeing, rowing, 2.0-3.9 mph, light effort ",2.8,
"pl","Water Activities","Canoeing, rowing, 4.0-5.9 mph, moderate effort ",5.8,
"pl","Water Activities","Canoeing, rowing, kayaking, competition, > 6 mph, vigorous effort ",12.5,
"pl","Water Activities","Canoeing, rowing, for pleasure, general (Taylor Code 250) ",3.5,
"pl","Water Activities","Canoeing or rowing, in competition, crew or sculling (Taylor Code 260) ",12.0,
"pl","Water Activities","Diving, springboard or platform ",3.0,
"pl","Water Activities","Kayaking, moderate effort ",5.0,
"pl","Water Activities","Kayaking, competition",13.5,
"pl","Water Activities","Kayaking, slalom, flat water",9.0,
"pl","Water Activities","Paddle boat ",4.0,
"pl","Water Activities","Rowing, simulated crew in a water tank, single oar, 33 strokes/min, ",15.5,
"pl","Water Activities","Rowing, single scull, ergometer, ergometer on slides, racing speed (32+ strokes/min, >10 mph)",15.5,
"pl","Water Activities","Sailing, boat and board sailing, windsurfing, ice sailing, general (Taylor Code 235) ",3.0,
"pl","Water Activities","Sailing, in competition, general  ",4.5,
"pl","Water Activities","Sailing, in competition, high effort",9.3,
"pl","Water Activities","Sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure ",3.3,
"pl","Water Activities","Sailing, dingy",2.0,
"pl","Water Activities","Skiing, water or wake boarding (Taylor Code 220) ",6.0,
"pl","Water Activities","Jet skiing, driving, in water ",7.0,
"pl","Water Activities","Skindiving, fast ",15.8,
"pl","Water Activities","Skindiving, moderate ",11.8,
"pl","Water Activities","Skindiving, scuba diving, general (Taylor Code 310) ",7.0,
"pl","Water Activities","Scuba diving, general, light effort",5.3,
"pl","Water Activities","Scuba diving, general, moderate effort",5.8,
"pl","Water Activities","Scuba diving, professional diver",5.5,
"pl","Water Activities","Scuba diving, recreational diver",6.8,
"pl","Water Activities","Snorkeling (Taylor Code 320) ",5.0,
"pl","Water Activities","Surfing, body or board, general ",3.0,
"pl","Water Activities","Surfboard, paddling",6.8,
"pl","Water Activities","Surfing, body or board, competitive ",5.0,
"pl","Water Activities","Stand up paddle boarding, general ",6.5,
"pl","Water Activities","Stand up Paddleboard, standing, 10-19 strokes/min",2.8,
"pl","Water Activities","Stand up Paddleboard, standing, 20-29 strokes/min",3.8,
"pl","Water Activities","Stand up Paddleboard, standing, 30-39 strokes/min",5.0,
"pl","Water Activities","Stand up Paddleboard, standing, 40-49 strokes/min",9.8,
"pl","Water Activities","Stand up Paddleboard, standing, 50-69 strokes/min",11.0,
"pl","Water Activities","Swimming laps, freestyle, fast, vigorous effort ",9.8,
"pl","Water Activities","Swimming laps, freestyle, slow, recreational ",5.8,
"pl","Water Activities","Swimming, backstroke, training or competition ",9.5,
"pl","Water Activities","Swimming, backstroke, recreational ",4.8,
"pl","Water Activities","Swimming, breaststroke, general, training or  competition ",10.3,
"pl","Water Activities","Swimming breaststroke, recreational ",5.3,
"pl","Water Activities","Swimming, butterfly, general ",13.8,
"pl","Water Activities","Swimming, crawl, fast speed, ~75 yards/minute,  vigorous effort ",10.5,
"pl","Water Activities","Swimming, open water, 5k",10.5,
"pl","Water Activities","Swimming, crawl, medium speed, ~50 yards/minute, vigorous effort  ",8.00,
"pl","Water Activities","Swimming, crawl, slow speed, 30-45 yards/minute, moderate effort  ",5.8,
"pl","Water Activities","Swimming, crawl, elite swimmers, competition, >90 yards/minute",14.5,
"pl","Water Activities","Swimming, lake, ocean, river (Taylor Codes 280,  295) ",6.0,
"pl","Water Activities","Swimming, leisurely, not lap swimming, general ",6.0,
"pl","Water Activities","Swimming, sidestroke, general ",7.0,
"pl","Water Activities","Swimming, synchronized ",8.0,
"pl","Water Activities","Swimming, treading water, fast, vigorous effort ",9.8,
"pl","Water Activities","Swimming, treading water, moderate effort,  general ",3.5,
"pl","Water Activities","Tubing, floating on a river, general ",2.3,
"pl","Water Activities","Water aerobics, water calisthenics, general",5.5,
"pl","Water Activities","Water aerobics, resistance exercises",3.8,
"pl","Water Activities","Water aerobics, high intensity",7.5,
"pl","Water Activities","Water polo ",10.0,
"pl","Water Activities","Water volleyball ",3.0,
"pl","Water Activities","Water jogging, vigorous effort ",9.8,
"pl","Water Activities","Water walking, light effort, slow pace ",2.5,
"pl","Water Activities","Water walking, moderate effort, moderate pace ",4.8,
"pl","Water Activities","Water walking, vigorous effort, brisk pace ",6.8,
"pl","Water Activities","Whitewater rafting, kayaking, or canoeing ",5.0,
"pl","Water Activities","Water running, 30 steps/min, slow",6.5,
"pl","Water Activities","Water running, 40 steps/min, moderate",7.5,
"pl","Water Activities","Water running, 50 steps/min, fast",8.5,
"pl","Water Activities","Water running, 60 steps/min, very fast",9.8,
"pl","Water Activities","Windsurfing, not pumping for speed ",5.0,
"pl","Water Activities","Windsurfing or kitesurfing, crossing trial ",11.0,
"pl","Water Activities","Windsurfing, competition, pumping for speed ",14.0,
"pl","Water Activities","Aquatic cycling, 25 W, 40-50 RPM",2.8,
"pl","Water Activities","Aquatic cycling, 25 W, 60-70 RPM",4.8,
"pl","Water Activities","Aquatic cycling, 50 W, 40-50 RPM",3.8,
"pl","Water Activities","Aquatic cycling,  50 W, 60-70 RPM",6.0,
"pl","Water Activities","Aquatic cycling, 75 W, 40-50 RPM",5.0,
"pl","Water Activities","Aquatic cycling, 75 W, 60-70 RPM",6.3,
"pl","Water" Activities","Aquatic cycling, 100 W, 40-50 RPM",6.3,
"pl","Water" Activities","Aquatic cycling, 80-89 RPM",8.5,
"pl","Winter Activities","Dog sledding, mushing",7.5,
"pl","Winter Activities","Dog sledding, passenger",2.5,
"pl","Winter Activities","Moving icehouse, set up/drill holes",6.0,
"pl","Winter Activities","Ice fishing",2.0,
"pl","Winter Activities","Skating, ice dancing",14.0,
"pl","Winter Activities","Skating, ice, 9 mph or less",5.5,
"pl","Winter Activities","Skating, ice, general (Taylor Code 360)",7.0,
"pl","Winter Activities","Skating, ice, rapidly, more than 9 mph but not competitive",9.0,
"pl","Winter Activities","Skating Treadmill, 6 - 6.9 mph, 2% grade",9.0,
"pl","Winter Activities","Skating Treadmill, 7 - 7.9 mph, 2% grade",10.0,
"pl","Winter Activities","Skating Treadmill, 8 - 8.9 mph, 2% grade",10.5,
"pl","Winter Activities","Skating Treadmill, 9 - 9.9 mph, 2% grade",11.0,
"pl","Winter Activities","Skating, speed, competitive",13.8,
"pl","Winter Activities","Ski jumping, climb up carrying skis",7.0,
"pl","Winter Activities","Skiing, general",7.0,
"pl","Winter Activities","Skiing, cross country, 2.5 mph, slow or light effort, ski walking",6.8,
"pl","Winter Activities","Skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general",8.5,
"pl","Winter Activities","Skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort",11.3,
"pl","Winter Activities","Skiing, cross country, elite skier, >8.0-11.9 mph, racing",14.0,
"pl","Winter Activities","Skiing, cross country, 12-16 mph, elite skier, racing",16.0,
"pl","Winter Activities","Skiing, cross-country skiing high-intensity training",9.5,
"pl","Winter Activities","Skiing, cross country, hard snow, uphill, maximum, snow mountaineering",15.5,
"pl","Winter Activities","Skiing, cross-country, skating",13.3,
"pl","Winter Activities","Skiing, cross-country, biathlon, skating technique",13.5,
"pl","Winter Activities","Biathlon training, 5 degree incline, 8 km/h (5 mph), with/without rifle",12.8,
"pl","Winter Activities","Biathlon training, 5 degree incline, 10.7 km/h (5 mph), with/without rifle",12.8,
"pl","Winter Activities","Skiing, slalom",9.3,
"pl","Winter Activities","Skiing, downhill, alpine or snowboarding, light effort, active time only",4.3,
"pl","Winter Activities","Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only",6.3,
"pl","Winter Activities","Skiing, downhill, alpine or snowboarding, vigorous effort, active time only",8.0,
"pl","Winter Activities","Skiing, Alpine skiing high-intensity training",7.3,
"pl","Winter Activities","Sledding, tobogganing, bobsledding, luge (Taylor Code 370)",7.0,
"pl","Winter Activities","Snow shoeing, moderate effort",5.3,
"pl","Winter Activities","Snow shoeing, vigorous effort",10.0,
"pl","Winter Activities","Snowmobiling, driving, moderate pace, flat land",3.8,
"pl","Winter Activities","Snowboarding, recreational, moderate pace, mountain",7.5,
"pl","Winter Activities","Snowmobiling, passenger, light",2.0,
"pl","Winter Activities","Snow shoveling, by hand, moderate effort",5.3,
"pl","Winter Activities","Snow shoveling, by hand, vigorous effort",7.5,
"pl","Winter Activities","Snow blower, walking and pushing",2.5,
"pl","Winter Activities","Skiing, roller, elite racers",12.5,
"pl","Winter Activities","Rollerskiing, 10 - 12.9 km/h, no incline",5.5,
"pl","Winter Activities","Rollerskiing, 13 - 16.9 km/h, no incline",6.8,
"pl","Winter Activities","Rollerskiing, 17 - 19.9 km/h, no incline",8.3,
"pl","Winter Activities","Rollerskiing, 20 - 23.9 km/h, no incline",10.5,
"pl","Winter Activities","Rollerskiing, 24 - 27.9 km/h, no incline",15.0,
"pl","Winter Activities","Rollerskiing, 10-15 km/h, 2-5 degree incline",12.5,
"pl","Winter Activities","Rollerskiing, 16-22 km/h, 2-5 degree incline",14.3,
"pl","Winter Activities","Rollerskiing, 6-9 km/h, 6-10 degree incline",12.3,
"pl","Winter Activities","Rollerskiing, >10 km/h, 6-10 degree incline",16.0,
"pl","Winter Activities","Mountaineering, downhill climbing, walking down with rope",9.0,
"pl","Winter Activities","Mountaineering, downhill climbing/cross-country skiing",10.3,
