placeholder,type,name,met
"pl","Conditioning Exercise","Rowing, stationary, ≥ 200 watts, very vigorous effort",14.0,
"pl","Conditioning Exercise","Shuttle running, forward/backward/lateral",11.0,
"pl","Conditioning Exercise","Ski machine, general",6.8,
"pl","Conditioning Exercise","Ski ergometer, cross country, double poling, slow to moderate speed",10.5,
"pl","Conditioning Exercise","Ski ergometer, cross country, double poling, fast to maximum speed",18.0,
"pl","Conditioning Exercise","Slide board exercise, general",10.5,
"pl","Conditioning Exercise","Slimnastics, jazzercise",6.0,
"pl","Conditioning Exercise","Stretching, mild",2.3,
"pl","Conditioning Exercise","Pilates, traditional, mat ",1.8,
"pl","Conditioning Exercise","Pilates, general",2.8,
"pl","Conditioning Exercise","Pound, combination of Pilates and body movements with drumming",8.5,
"pl","Conditioning Exercise","Pole dancing, exercise class",4.5,
"pl","Conditioning Exercise","Teaching exercise classes (e.g., aerobic, water)",6.8,
"pl","Conditioning Exercise","Therapeutic exercise ball, Fitball exercise",2.8,
"pl","Conditioning Exercise","Therapeutic exercise ball, Fitball exercise, high intensity",9.5,
"pl","Conditioning Exercise","Upper body exercise, arm ergometer, general, light",2.8,
"pl","Conditioning Exercise","Arm Ergometer, hand bike, 15W",2.0,
"pl","Conditioning Exercise","Arm Ergometer, hand bike, 25-30W",2.8,
"pl","Conditioning Exercise","Arm Ergometer, hand bike, 45W",3.5,
"pl","Conditioning Exercise","Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity",4.3,
"pl","Conditioning Exercise","Water aerobics, water calisthenics, water exercise",5.3,
"pl","Conditioning Exercise","Whirlpool, sitting",1.3,
"pl","Conditioning Exercise","Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort",2.5,
"pl","Conditioning Exercise","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate",4.0,
"pl","Conditioning Exercise","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous",6.0,
"pl","Conditioning Exercise","Yoga, Hatha",2.3,
"pl","Conditioning Exercise","Yoga, Hatha, high intensity",8.0,
"pl","Conditioning Exercise","Yoga, Hot",3.0,
"pl","Conditioning Exercise","Yoga, Power",4.0,
"pl","Conditioning Exercise","Yoga, Nadisodhana",2.0,
"pl","Conditioning Exercise","Yoga, General",2.3,
"pl","Conditioning Exercise","Yoga, Surya Namaskar",3.5,
"pl","Conditioning Exercise","Yoga, Vinyasa",2.7,
"pl","Conditioning Exercise","Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort",5.3,
"pl","Conditioning Exercise","Native New Zealander PA, general, vigorous effort",6.8,
"pl","Conditioning Exercise","High intensity interval exercise,  moderate effort",7.0,
"pl","Conditioning Exercise","High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort",11.0,
"pl","Conditioning Exercise","Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo",2.3,
"pl","Conditioning Exercise","Hooping (formerly known as hula® hooping)",5.8,
"pl","Conditioning Exercise","Impulse Training System, Inertial Exercise Trainer",9.0,
"pl","Conditioning Exercise","Virtual Reality Fitness,  Supernatural™ “Flow”, “Boxing" vigorous intensity",7.9,
"pl","Conditioning Exercise","ExerCube, workout series",9.3,
"pl","Conditioning Exercise","Blackbox Immersive virtual reality exergaming system, vigorous intensity",13.0,
"pl","Conditioning Exercise","Wand exercise, Life-Build-Line",3.0,
"pl","Conditioning Exercise","Zumba, group class",6.5,
"pl","Conditioning Exercise","Zumba, home video",5.5,
"pl","Conditioning Exercise","Sit to stand exercise, 6-12 times/min",2.8,
"pl","Conditioning Exercise","Sit to stand exercise, 18-24 times/min",4.0,
"pl","Fishing & Hunting","Fishing, general",3.5,
"pl","Fishing & Hunting","Fishing, crab fishing",4.5,
"pl","Fishing & Hunting","Fishing, catching fish with hands",4.0,
"pl","Fishing & Hunting","Fishing related, digging worms, with shovel",4.3,
"pl","Fishing & Hunting","Fishing from river bank and walking",4.0,
"pl","Fishing & Hunting","Fishing from boat or canoe, sitting",2.0,
"pl","Fishing & Hunting","Fishing from river bank, standing (Taylor Code 660)",3.5,
"pl","Fishing & Hunting","Fishing in stream, in waders (Taylor Code 670)",6.0,
"pl","Fishing & Hunting","Fishing, ice, sitting",2.0,
"pl","Fishing & Hunting","Fishing, jig or line, standing, general",1.8,
"pl","Fishing & Hunting","Fishing, dip net, setting net and retrieving fish, general",3.5,
"pl","Fishing & Hunting","Fishing, set net, setting net and retrieving fish, general",3.8,
"pl","Fishing & Hunting","Fishing, fishing wheel, setting net and retrieving fish, general",3.0,
"pl","Fishing & Hunting","Fishing with a spear, standing",2.3,
"pl","Fishing & Hunting","Hunting, bow and arrow or crossbow",2.5,
"pl","Fishing & Hunting","Hunting, deer, elk, large game (Taylor Code 170)",6.0,
"pl","Fishing & Hunting","Hunting large game, dragging carcass",9.8,
"pl","Fishing & Hunting","Hunting large marine animals",4.0,
"pl","Fishing & Hunting","Hunting, large game from a hunting stand, limited walking",2.5,
"pl","Fishing & Hunting","Hunting large game from a car, plane, or boat",2.0,
"pl","Fishing & Hunting","Hunting, duck, wading",2.5,
"pl","Fishing & Hunting","Hunting flying fox, squirrel",3.0,
"pl","Fishing & Hunting","Hunting, general",5.0,
"pl","Fishing & Hunting","Hunting, pheasants or grouse (Taylor Code 680)",6.0,
"pl","Fishing & Hunting","Hunting birds",3.3,
"pl","Fishing & Hunting","Hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)",5.0,
"pl","Fishing & Hunting","Hunting pigs, wild",3.3,
"pl","Fishing & Hunting","Trapping game, general",2.0,
"pl","Fishing & Hunting","Hunting - hiking with hunting gear",9.5,
"pl","Fishing & Hunting","Pistol shooting or trap shooting, standing",2.5,
"pl","Fishing & Hunting","Rifle exercises, shooting, lying down",2.3,
"pl","Fishing & Hunting","Rifle exercises, shooting, kneeling or standing",2.5,
